,Questions,Answer,question_clean
0,  What is Linear Regression Algorithm?,"In simple terms: It is a method of finding the best straight line fitting to the given dataset, i.e. tries to find the best linear relationship between the independent and dependent variables.In technical terms: It is a supervised machine learning algorithm that finds the best linear-fit relationship on the given dataset, between independent and dependent variables. It is mostly done with the help of the Sum of Squared Residuals Method, known as the Ordinary least squares (OLS) method.                                                       Image Source: Google Images ",linear regress
1,  How do you interpret a linear regression model?,"As we know that the linear regression model is of the form:The significance of the linear regression model lies in the fact that we can easily interpret and understand the marginal changes in the independent variables(predictors) and observed their consequences on the dependent variable(response).Therefore, a linear regression model is quite easy to interpret.For Example, if we increase the value of x1 increases by 1 unit, keeping other variables constant, then the total increase in the value of y will be βi and the intercept term (β0) is the response when all the predictor’s terms are set to zero or not considered.",interpret linear regress
2,  What are the basic assumptions of the Linear Regression Algorithm?,"The basic assumptions of the Linear regression algorithm are as follows: Linearity: The relationship between the features and target. Homoscedasticity: The error term has a constant variance. Multicollinearity: There is no multicollinearity between the features. Independence: Observations are independent of each other. Normality: The error(residuals) follows a normal distribution. Now, let’s break these assumptions into different categories:It is assumed that there exists a linear relationship between the dependent and the independent variables. Sometimes, this assumption is known as the ‘linearity assumption’. Normality assumption: The error terms, ε(i), are normally distributed. Zero mean assumption: The residuals have a mean value of zero. Constant variance assumption: The residual terms have the same (but unknown) value of variance, σ2. This assumption is also called the assumption of homogeneity or homoscedasticity. Independent error assumption: The residual terms are independent of each other, i.e. their pair-wise covariance value is zero.  The independent variables are measured without error. There does not exist a linear dependency between the independent variables, i.e. there is no multicollinearity in the data. ",assumpt linear regress
3,  Explain the difference between Correlation and Regression.,Correlation: It measures the strength or degree of relationship between two variables. It doesn’t capture causality. It is visualized by a single point.Regression: It measures how one variable affects another variable. Regression is all about model fitting. It tries to capture the causality and describes the cause and the effect. It is visualized by a regression line.,correl regress
4,  Explain the Gradient Descent algorithm with respect to linear regression.,"Gradient descent is a first-order optimization algorithm. In linear regression, this algorithm is used to optimize the cost function to find the values of the βs (estimators) corresponding to the optimized value of the cost function.The working of Gradient descent is similar to a ball that rolls down a graph (ignoring the inertia). In that case, the ball moves along the direction of the maximum gradient and comes to rest at the flat surface i.e, corresponds to minima.Mathematically, the main objective of the gradient descent for linear regression is to find the solution of the following expression,ArgMin J(θ0, θ1), where J(θ0, θ1) represents the cost function of the linear regression. It is given by :Here, h is the linear hypothesis model, defined as h=θ0 + θ1x,y is the target column or output, and m is the number of data points in the training set.Step-1: Gradient Descent starts with a random solution,Step-2: Based on the direction of the gradient, the solution is updated to the new value where the cost function has a lower value.The updated value for the parameter is given by the formulae:Repeat until convergence(upto minimum loss function)",descent gradient linear regress
5,  Justify the cases where the linear regression algorithm is suitable for a given dataset.,"Generally, a Scatter plot is used to see if linear regression is suitable for any given data. So, we can go for a linear model if the relationship looks somewhat linear. Plotting the scatter plots is easy in the case of simple or univariate linear regression.But if we have more than one independent variable i.e, the case of multivariate linear regression, then two-dimensional pairwise scatter plots, rotating plots, and dynamic graphs can be plotted to find the suitableness.On the contrary, to make the relationship linear we have to apply some transformations.",case dataset justifi linear regress suitabl
6,  List down some of the metrics used to evaluate a Regression Model.,"Mainly, there are five metrics that are commonly used to evaluate the regression models: Mean Absolute Error(MAE) Mean Squared Error(MSE) Root Mean Squared Error(RMSE) R-Squared(Coefficient of Determination) Adjusted R-Squared ",evalu list metric regress
7,"  For a linear regression model, how do we interpret a Q-Q plot?","The Q-Q plot represents a graphical plotting of the quantiles of two distributions with respect to each other. In simple words, we plot quantiles against quantiles in the Q-Q plot which is used to check the normality of errors.Whenever we interpret a Q-Q plot, we should concentrate on the ‘y = x’ line, which corresponds to a normal distribution. Sometimes, this line is also known as the 45-degree line in statistics.It implies that each of the distributions has the same quantiles. In case you witness a deviation from this line, one of the distributions could be skewed when compared to the other i.e, normal distribution.",interpret linear plot q q regress
8,"  In linear regression, what is the value of the sum of the residuals for a given dataset? Explain with proper justification.","The sum of the residuals in a linear regression model is 0 since it assumes that the errors (residuals) are normally distributed with an expected value or mean equal to 0, i.e.Y = βT X + εHere, Y is the dependent variable or the target column, and β is the vector of the estimates of the regression coefficient,X is the feature matrix containing all the features as the columns, ε is the residual term such that ε ~ N(0, σ2).Moreover, the sum of all the residuals is calculated as the expected value of the residuals times the total number of observations in our dataset. Since the expectation of residuals is 0, therefore the sum of all the residual terms is zero.Note: N(μ, σ2) denotes the standard notation for a normal distribution having mean μ and standard deviation σ2.",dataset justif linear proper regress residu sum valu
9,  What are RMSE and MSE? How to calculate it?,"RMSE and MSE are the two of the most common measures of accuracy for linear regression.MSE (Mean Squared Error) is defined as the average of all the squared errors(residuals) for all data points. In simple words, we can say it is an average of squared differences between predicted and actual values.RMSE (Root Mean Squared Error) is the square root of the average of squared differences between predicted and actual values.RMSE stands for Root mean square error, which represented by the formulae:MSE stands for Mean square error, which represented by the formulae:Increment in RMSE is larger than MAE as the test sample size increases. In general, as the variance of error magnitudes increase, MAE remains steady but RMSE increases.",calcul mse rmse
